time	V(a)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	1.000000e-004
1.999999943436137e-009	2.000000e-004
1.000000000000000e-005	1.000000e+000
1.008959796116687e-005	1.000000e+000
1.026879388350060e-005	1.000000e+000
5.000000000000001e-004	1.000000e+000
5.002200002199974e-004	9.780000e-001
5.006600006599920e-004	9.340000e-001
5.100000000000002e-004	0.000000e+000
5.100070659988654e-004	0.000000e+000
5.100211979965957e-004	0.000000e+000
1.000000000000000e-003	0.000000e+000
1.000020273017336e-003	2.027302e-003
1.000060819052008e-003	6.081905e-003
1.010000000000000e-003	1.000000e+000
1.010220000455424e-003	1.000000e+000
1.010660001366271e-003	1.000000e+000
1.500000000000000e-003	1.000000e+000
1.500220000220001e-003	9.780000e-001
1.500660000660003e-003	9.340000e-001
1.510000000000000e-003	8.326673e-015
1.510007065998866e-003	2.775558e-015
1.510021197996596e-003	0.000000e+000
2.000000000000000e-003	0.000000e+000
2.000020273017893e-003	2.027302e-003
2.000060819053677e-003	6.081905e-003
2.010000000000000e-003	1.000000e+000
2.010220000455424e-003	1.000000e+000
2.010660001366271e-003	1.000000e+000
2.500000000000000e-003	1.000000e+000
2.500220000220001e-003	9.780000e-001
2.500660000660003e-003	9.340000e-001
2.510000000000000e-003	8.326673e-015
2.510007065998866e-003	2.775558e-015
2.510021197996596e-003	0.000000e+000
3.000000000000000e-003	0.000000e+000
3.000020273017902e-003	2.027302e-003
3.000060819053706e-003	6.081905e-003
3.010000000000000e-003	1.000000e+000
3.010220000455424e-003	1.000000e+000
3.010660001366271e-003	1.000000e+000
3.500000000000000e-003	1.000000e+000
3.500220000220001e-003	9.780000e-001
3.500660000660003e-003	9.340000e-001
3.510000000000000e-003	8.326673e-015
3.510007065998866e-003	2.775558e-015
3.510021197996596e-003	0.000000e+000
4.000000000000000e-003	0.000000e+000
4.000020273017902e-003	2.027302e-003
4.000060819053706e-003	6.081905e-003
4.010000000000000e-003	1.000000e+000
4.010220000455423e-003	1.000000e+000
4.010660001366271e-003	1.000000e+000
4.500000000000001e-003	1.000000e+000
4.500220000220001e-003	9.780000e-001
4.500660000660003e-003	9.340000e-001
4.510000000000000e-003	8.326673e-015
4.510007065998865e-003	2.775558e-015
4.510021197996596e-003	0.000000e+000
5.000000000000000e-003	0.000000e+000
5.000020273017936e-003	2.027302e-003
5.000060819053806e-003	6.081905e-003
5.010000000000000e-003	1.000000e+000
5.010220000455423e-003	1.000000e+000
5.010660001366271e-003	1.000000e+000
5.500000000000001e-003	1.000000e+000
5.500220000220001e-003	9.780000e-001
5.500660000660003e-003	9.340000e-001
5.510000000000000e-003	8.326673e-015
5.510007065998865e-003	2.775558e-015
5.510021197996596e-003	0.000000e+000
6.000000000000000e-003	0.000000e+000
6.000020273017936e-003	2.027302e-003
6.000060819053806e-003	6.081905e-003
6.010000000000000e-003	1.000000e+000
6.010220000455423e-003	1.000000e+000
6.010660001366271e-003	1.000000e+000
6.500000000000001e-003	1.000000e+000
6.500220000220001e-003	9.780000e-001
6.500660000660003e-003	9.340000e-001
6.510000000000000e-003	8.326673e-015
6.510007065998865e-003	2.775558e-015
6.510021197996596e-003	0.000000e+000
7.000000000000000e-003	0.000000e+000
7.000020273017936e-003	2.027302e-003
7.000060819053806e-003	6.081905e-003
7.010000000000000e-003	1.000000e+000
7.010220000455423e-003	1.000000e+000
7.010660001366271e-003	1.000000e+000
7.500000000000001e-003	1.000000e+000
7.500220000220001e-003	9.780000e-001
7.500660000660003e-003	9.340000e-001
7.510000000000000e-003	8.326673e-015
7.510007065998865e-003	2.775558e-015
7.510021197996596e-003	0.000000e+000
8.000000000000000e-003	0.000000e+000
8.000020273017936e-003	2.027302e-003
8.000060819053807e-003	6.081905e-003
8.010000000000000e-003	1.000000e+000
8.010220000455424e-003	1.000000e+000
8.010660001366271e-003	1.000000e+000
8.500000000000001e-003	1.000000e+000
8.500220000220002e-003	9.780000e-001
8.500660000660005e-003	9.340000e-001
8.510000000000000e-003	8.326673e-015
8.510007065998866e-003	2.775558e-015
8.510021197996596e-003	0.000000e+000
9.000000000000001e-003	0.000000e+000
9.000020273017929e-003	2.027302e-003
9.000060819053782e-003	6.081905e-003
9.010000000000001e-003	1.000000e+000
9.010220000455425e-003	1.000000e+000
9.010660001366272e-003	1.000000e+000
9.013300006831359e-003	1.000000e+000
9.500000000000002e-003	1.000000e+000
9.500220000220003e-003	9.780000e-001
9.500660000660006e-003	9.340000e-001
9.510000000000001e-003	8.326673e-015
9.510007065998867e-003	2.775558e-015
9.510021197996597e-003	0.000000e+000
1.000000000000000e-002	2.273737e-013
1.000002027301793e-002	2.027302e-003
1.000006081905378e-002	6.081905e-003
1.001000000000000e-002	1.000000e+000
1.001022000045542e-002	1.000000e+000
1.001066000136627e-002	1.000000e+000
1.050000000000000e-002	1.000000e+000
1.050022000022000e-002	9.780000e-001
1.050066000066001e-002	9.340000e-001
1.051000000000000e-002	8.326673e-015
1.051000706599887e-002	2.775558e-015
1.051002119799660e-002	0.000000e+000
1.100000000000000e-002	0.000000e+000
1.100002027301793e-002	2.027302e-003
1.100006081905378e-002	6.081905e-003
1.101000000000000e-002	1.000000e+000
1.101022000045542e-002	1.000000e+000
1.101066000136627e-002	1.000000e+000
1.150000000000000e-002	1.000000e+000
1.150022000022000e-002	9.780000e-001
1.150066000066000e-002	9.340000e-001
1.151000000000000e-002	8.326673e-015
1.151000706599887e-002	2.775558e-015
1.151002119799660e-002	0.000000e+000
1.200000000000000e-002	0.000000e+000
1.200002027301793e-002	2.027302e-003
1.200006081905378e-002	6.081905e-003
1.201000000000000e-002	1.000000e+000
1.201022000045542e-002	1.000000e+000
1.201066000136627e-002	1.000000e+000
1.250000000000000e-002	1.000000e+000
1.250022000022000e-002	9.780000e-001
1.250066000066001e-002	9.340000e-001
1.251000000000000e-002	8.326673e-015
1.251000706599887e-002	2.775558e-015
1.251002119799660e-002	0.000000e+000
1.300000000000000e-002	0.000000e+000
1.300002027301793e-002	2.027302e-003
1.300006081905378e-002	6.081905e-003
1.301000000000000e-002	1.000000e+000
1.301022000045543e-002	1.000000e+000
1.301066000136627e-002	1.000000e+000
1.350000000000000e-002	1.000000e+000
1.350022000022000e-002	9.780000e-001
1.350066000066001e-002	9.340000e-001
1.351000000000000e-002	8.326673e-015
1.351000706599887e-002	2.775558e-015
1.351002119799660e-002	0.000000e+000
1.390228094258636e-002	0.000000e+000
1.400000000000000e-002	2.273737e-013
1.400002027301793e-002	2.027302e-003
1.400006081905378e-002	6.081905e-003
1.401000000000000e-002	1.000000e+000
1.401022000045542e-002	1.000000e+000
1.401066000136627e-002	1.000000e+000
1.450000000000000e-002	1.000000e+000
1.450022000022000e-002	9.780000e-001
1.450066000066001e-002	9.340000e-001
1.451000000000000e-002	8.326673e-015
1.451000706599887e-002	2.775558e-015
1.451002119799660e-002	0.000000e+000
1.500000000000000e-002	0.000000e+000
1.500002027301793e-002	2.027302e-003
1.500006081905378e-002	6.081905e-003
1.501000000000000e-002	1.000000e+000
1.501022000045542e-002	1.000000e+000
1.501066000136627e-002	1.000000e+000
1.550000000000000e-002	1.000000e+000
1.550022000022000e-002	9.780000e-001
1.550066000066000e-002	9.340000e-001
1.551000000000000e-002	8.326673e-015
1.551000706599887e-002	2.775558e-015
1.551002119799660e-002	0.000000e+000
1.600000000000000e-002	0.000000e+000
1.600002027301793e-002	2.027302e-003
1.600006081905378e-002	6.081905e-003
1.601000000000000e-002	1.000000e+000
1.601022000045542e-002	1.000000e+000
1.601066000136627e-002	1.000000e+000
1.650000000000000e-002	1.000000e+000
1.650022000022000e-002	9.780000e-001
1.650066000066000e-002	9.340000e-001
1.651000000000000e-002	8.326673e-015
1.651000706599887e-002	2.775558e-015
1.651002119799660e-002	0.000000e+000
1.700000000000000e-002	0.000000e+000
1.700002027301812e-002	2.027302e-003
1.700006081905435e-002	6.081905e-003
1.701000000000000e-002	1.000000e+000
1.701022000045542e-002	1.000000e+000
1.701066000136627e-002	1.000000e+000
1.750000000000000e-002	1.000000e+000
1.750022000022000e-002	9.780000e-001
1.750066000066001e-002	9.340000e-001
1.751000000000000e-002	8.326673e-015
1.751000706599887e-002	2.775558e-015
1.751002119799660e-002	0.000000e+000
1.800000000000000e-002	0.000000e+000
1.800002027301812e-002	2.027302e-003
1.800006081905435e-002	6.081905e-003
1.801000000000000e-002	1.000000e+000
1.801022000045542e-002	1.000000e+000
1.801066000136627e-002	1.000000e+000
1.850000000000000e-002	1.000000e+000
1.850022000022000e-002	9.780000e-001
1.850066000066001e-002	9.340000e-001
1.850682000682003e-002	3.179993e-001
1.851000000000000e-002	8.326673e-015
1.851000706599887e-002	2.775558e-015
1.851002119799660e-002	0.000000e+000
1.900000000000000e-002	4.547474e-013
1.900002027301812e-002	2.027302e-003
1.900006081905435e-002	6.081905e-003
1.901000000000000e-002	1.000000e+000
1.901022000045542e-002	1.000000e+000
1.901066000136627e-002	1.000000e+000
1.950000000000000e-002	1.000000e+000
1.950022000022000e-002	9.780000e-001
1.950066000066000e-002	9.340000e-001
1.951000000000000e-002	8.326673e-015
1.951000706599887e-002	2.775558e-015
1.951002119799660e-002	0.000000e+000
2.000000000000000e-002	0.000000e+000
2.000002027301812e-002	2.027302e-003
2.000006081905435e-002	6.081905e-003
2.001000000000000e-002	1.000000e+000
2.001022000045542e-002	1.000000e+000
2.001066000136627e-002	1.000000e+000
2.050000000000000e-002	1.000000e+000
2.050022000022000e-002	9.780000e-001
2.050066000066000e-002	9.340000e-001
2.051000000000000e-002	8.326673e-015
2.051000706599887e-002	2.775558e-015
2.051002119799660e-002	0.000000e+000
2.100000000000000e-002	0.000000e+000
2.100002027301812e-002	2.027302e-003
2.100006081905435e-002	6.081905e-003
2.101000000000000e-002	1.000000e+000
2.101022000045542e-002	1.000000e+000
2.101066000136627e-002	1.000000e+000
2.150000000000000e-002	1.000000e+000
2.150022000022000e-002	9.780000e-001
2.150066000066001e-002	9.340000e-001
2.151000000000000e-002	8.326673e-015
2.151000706599887e-002	2.775558e-015
2.151002119799660e-002	0.000000e+000
2.200000000000000e-002	4.547474e-013
2.200002027301812e-002	2.027302e-003
2.200006081905435e-002	6.081905e-003
2.201000000000000e-002	1.000000e+000
2.201022000045542e-002	1.000000e+000
2.201066000136627e-002	1.000000e+000
2.250000000000000e-002	1.000000e+000
2.250022000022000e-002	9.780000e-001
2.250066000066000e-002	9.340000e-001
2.251000000000000e-002	8.326673e-015
2.251000706599887e-002	2.775558e-015
2.251002119799660e-002	0.000000e+000
2.300000000000000e-002	0.000000e+000
2.300002027301812e-002	2.027302e-003
2.300006081905434e-002	6.081905e-003
2.301000000000000e-002	1.000000e+000
2.301022000045542e-002	1.000000e+000
2.301066000136627e-002	1.000000e+000
2.306610011613309e-002	1.000000e+000
2.350000000000000e-002	1.000000e+000
2.350022000022000e-002	9.780000e-001
2.350066000066000e-002	9.340000e-001
2.351000000000000e-002	8.326673e-015
2.351000706599887e-002	2.775558e-015
2.351002119799660e-002	0.000000e+000
2.400000000000000e-002	0.000000e+000
2.400002027301812e-002	2.027302e-003
2.400006081905435e-002	6.081905e-003
2.401000000000000e-002	1.000000e+000
2.401022000045542e-002	1.000000e+000
2.401066000136627e-002	1.000000e+000
2.450000000000000e-002	1.000000e+000
2.450022000022000e-002	9.780000e-001
2.450066000066000e-002	9.340000e-001
2.451000000000000e-002	8.326673e-015
2.451000706599887e-002	2.775558e-015
2.451002119799660e-002	0.000000e+000
2.500000000000000e-002	0.000000e+000
2.500002027301812e-002	2.027302e-003
2.500006081905435e-002	6.081905e-003
2.501000000000000e-002	1.000000e+000
2.501022000045542e-002	1.000000e+000
2.501066000136627e-002	1.000000e+000
2.550000000000000e-002	1.000000e+000
2.550022000022000e-002	9.780000e-001
2.550066000066001e-002	9.340000e-001
2.551000000000000e-002	8.326673e-015
2.551000706599887e-002	2.775558e-015
2.551002119799660e-002	0.000000e+000
2.600000000000000e-002	0.000000e+000
2.600002027301812e-002	2.027302e-003
2.600006081905435e-002	6.081905e-003
2.601000000000000e-002	1.000000e+000
2.601022000045542e-002	1.000000e+000
2.601066000136627e-002	1.000000e+000
